,precision,recall,f1-score,support
Maltese_dog,0.9041095890410958,0.8354430379746836,0.8684210526315789,79.0
Afghan_hound,0.873015873015873,0.9322033898305084,0.9016393442622951,59.0
Scottish_deerhound,0.7142857142857143,0.9016393442622951,0.7971014492753624,61.0
Pomeranian,0.9230769230769231,0.967741935483871,0.9448818897637796,62.0
Irish_wolfhound,0.8666666666666667,0.6753246753246753,0.7591240875912408,77.0
Samoyed,0.8793103448275862,0.9622641509433962,0.9189189189189189,53.0
Bernese_mountain_dog,0.8904109589041096,0.9154929577464789,0.9027777777777778,71.0
Shih,0.673469387755102,0.6875,0.6804123711340205,48.0
Great_Pyrenees,0.7317073170731707,0.8823529411764706,0.8,68.0
Leonberg,0.873015873015873,0.9322033898305084,0.9016393442622951,59.0
basenji,0.8269230769230769,0.7962962962962963,0.8113207547169811,54.0
Tibetan_terrier,0.7671232876712328,0.7368421052631579,0.7516778523489932,76.0
Airedale,0.8070175438596491,0.8363636363636363,0.8214285714285714,55.0
EntleBucher,0.6714285714285714,0.8867924528301887,0.7642276422764227,53.0
Sealyham_terrier,0.8823529411764706,0.967741935483871,0.923076923076923,62.0
Saluki,0.8181818181818182,0.9375,0.8737864077669902,48.0
pug,0.8955223880597015,0.8955223880597015,0.8955223880597015,67.0
cairn,0.7894736842105263,0.8695652173913043,0.8275862068965517,69.0
Lakeland_terrier,0.8076923076923077,0.7368421052631579,0.7706422018348624,57.0
Norwegian_elkhound,0.9322033898305084,0.9166666666666666,0.9243697478991596,60.0
Australian_terrier,0.75,0.7384615384615385,0.7441860465116279,65.0
papillon,0.9824561403508771,0.9491525423728814,0.9655172413793103,59.0
chow,0.9375,0.9836065573770492,0.96,61.0
beagle,0.6944444444444444,0.8064516129032258,0.746268656716418,62.0
Newfoundland,0.82,0.7884615384615384,0.803921568627451,52.0
Siberian_husky,0.6111111111111112,0.6875,0.6470588235294118,64.0
Blenheim_spaniel,0.9649122807017544,0.9166666666666666,0.9401709401709402,60.0
Ibizan_hound,0.9444444444444444,0.8360655737704918,0.8869565217391304,61.0
whippet,0.8148148148148148,0.7719298245614035,0.7927927927927928,57.0
bloodhound,0.851063829787234,0.8,0.8247422680412372,50.0
Lhasa,0.6933333333333334,0.7428571428571429,0.7172413793103448,70.0
Norwich_terrier,0.7164179104477612,0.8,0.7559055118110236,60.0
Japanese_spaniel,0.9074074074074074,0.9423076923076923,0.9245283018867925,52.0
miniature_pinscher,0.8059701492537313,0.8852459016393442,0.84375,61.0
silky_terrier,0.7169811320754716,0.7755102040816326,0.7450980392156863,49.0
Italian_greyhound,0.7450980392156863,0.76,0.7524752475247525,50.0
Bedlington_terrier,0.9629629629629629,0.9629629629629629,0.9629629629629629,54.0
Boston_bull,0.8387096774193549,0.9122807017543859,0.8739495798319329,57.0
Pembroke,0.7678571428571429,0.8431372549019608,0.8037383177570093,51.0
Dandie_Dinmont,0.9111111111111111,0.8913043478260869,0.9010989010989011,46.0
Kerry_blue_terrier,1.0,0.8448275862068966,0.9158878504672897,58.0
malamute,0.6615384615384615,0.7818181818181819,0.7166666666666666,55.0
basset,0.8333333333333334,0.8653846153846154,0.8490566037735849,52.0
toy_terrier,0.8541666666666666,0.7884615384615384,0.8200000000000001,52.0
Rhodesian_ridgeback,0.6666666666666666,0.7441860465116279,0.7032967032967034,43.0
Norfolk_terrier,0.82,0.6949152542372882,0.7522935779816514,59.0
Border_terrier,0.9215686274509803,0.94,0.9306930693069307,50.0
Labrador_retriever,0.7,0.8305084745762712,0.7596899224806201,59.0
bluetick,0.8653846153846154,0.7758620689655172,0.8181818181818181,58.0
Saint_Bernard,0.9259259259259259,0.9615384615384616,0.9433962264150944,52.0
African_hunting_dog,0.9666666666666667,0.9666666666666667,0.9666666666666667,60.0
West_Highland_white_terrier,0.8958333333333334,0.9148936170212766,0.9052631578947369,47.0
Old_English_sheepdog,0.9074074074074074,0.9607843137254902,0.9333333333333333,51.0
Irish_terrier,0.8653846153846154,0.8490566037735849,0.8571428571428571,53.0
Greater_Swiss_Mountain_dog,0.8333333333333334,0.6944444444444444,0.7575757575757577,72.0
Chesapeake_Bay_retriever,0.8409090909090909,0.6727272727272727,0.7474747474747475,55.0
American_Staffordshire_terrier,0.6136363636363636,0.6428571428571429,0.6279069767441862,42.0
Yorkshire_terrier,0.8611111111111112,0.6326530612244898,0.7294117647058823,49.0
English_setter,0.8913043478260869,0.8723404255319149,0.8817204301075269,47.0
Weimaraner,0.8888888888888888,0.8727272727272727,0.8807339449541284,55.0
black,0.8846153846153846,0.8518518518518519,0.8679245283018868,54.0
English_springer,0.8205128205128205,0.9142857142857143,0.8648648648648648,35.0
cocker_spaniel,0.8723404255319149,0.803921568627451,0.8367346938775511,51.0
standard_poodle,0.7636363636363637,0.7241379310344828,0.7433628318584072,58.0
French_bulldog,0.8867924528301887,0.8545454545454545,0.8703703703703703,55.0
keeshond,0.98,0.98,0.98,50.0
Scotch_terrier,0.8913043478260869,0.8913043478260869,0.8913043478260869,46.0
Shetland_sheepdog,0.7111111111111111,0.8888888888888888,0.7901234567901234,36.0
giant_schnauzer,0.7540983606557377,0.7666666666666667,0.7603305785123967,60.0
wire,0.875,0.7608695652173914,0.813953488372093,46.0
English_foxhound,0.7111111111111111,0.6530612244897959,0.6808510638297872,49.0
dingo,0.7735849056603774,0.8367346938775511,0.803921568627451,49.0
bull_mastiff,0.8775510204081632,0.86,0.8686868686868686,50.0
soft,0.8205128205128205,0.7111111111111111,0.7619047619047619,45.0
Great_Dane,0.8636363636363636,0.8837209302325582,0.8735632183908046,43.0
miniature_poodle,0.6521739130434783,0.36585365853658536,0.46874999999999994,41.0
Staffordshire_bullterrier,0.7560975609756098,0.6595744680851063,0.7045454545454545,47.0
standard_schnauzer,0.5967741935483871,0.7708333333333334,0.6727272727272728,48.0
Mexican_hairless,0.9767441860465116,0.9333333333333333,0.9545454545454545,45.0
Irish_setter,0.9523809523809523,0.9090909090909091,0.9302325581395349,44.0
Cardigan,0.7441860465116279,0.7272727272727273,0.735632183908046,44.0
schipperke,0.8888888888888888,0.8695652173913043,0.8791208791208792,46.0
vizsla,0.7954545454545454,0.7954545454545454,0.7954545454545455,44.0
miniature_schnauzer,0.7560975609756098,0.62,0.6813186813186813,50.0
komondor,0.9523809523809523,0.851063829787234,0.898876404494382,47.0
Brabancon_griffon,0.8947368421052632,0.8947368421052632,0.8947368421052632,38.0
collie,0.7142857142857143,0.45454545454545453,0.5555555555555556,44.0
Walker_hound,0.8181818181818182,0.6,0.6923076923076923,45.0
kelpie,0.7777777777777778,0.7567567567567568,0.7671232876712328,37.0
Gordon_setter,0.9069767441860465,0.9069767441860465,0.9069767441860465,43.0
Chihuahua,0.7608695652173914,0.7291666666666666,0.7446808510638298,48.0
flat,0.8571428571428571,0.8571428571428571,0.8571428571428571,42.0
German_short,0.8,0.8648648648648649,0.8311688311688312,37.0
briard,0.6888888888888889,0.8157894736842105,0.746987951807229,38.0
Rottweiler,0.7659574468085106,0.9230769230769231,0.8372093023255814,39.0
Brittany_spaniel,0.8541666666666666,0.9111111111111111,0.8817204301075269,45.0
German_shepherd,0.8679245283018868,0.8518518518518519,0.8598130841121496,54.0
Tibetan_mastiff,0.8113207547169812,0.86,0.8349514563106797,50.0
otterhound,0.9047619047619048,0.8085106382978723,0.853932584269663,47.0
toy_poodle,0.5,0.7894736842105263,0.6122448979591837,38.0
curly,0.7735849056603774,1.0,0.8723404255319149,41.0
boxer,0.8135593220338984,0.8727272727272727,0.8421052631578948,55.0
Sussex_spaniel,0.9583333333333334,0.9583333333333334,0.9583333333333334,48.0
Appenzeller,0.6785714285714286,0.5135135135135135,0.5846153846153848,37.0
borzoi,0.9722222222222222,0.875,0.9210526315789473,40.0
malinois,0.925,0.8043478260869565,0.8604651162790697,46.0
Welsh_springer_spaniel,0.8461538461538461,0.7857142857142857,0.8148148148148148,56.0
affenpinscher,0.7954545454545454,0.813953488372093,0.8045977011494252,43.0
clumber,0.9714285714285714,0.8717948717948718,0.9189189189189189,39.0
Eskimo_dog,0.5909090909090909,0.3170731707317073,0.41269841269841273,41.0
Irish_water_spaniel,0.9743589743589743,0.9047619047619048,0.9382716049382716,42.0
kuvasz,0.875,0.6086956521739131,0.717948717948718,46.0
groenendael,0.85,0.918918918918919,0.8831168831168831,37.0
dhole,0.7543859649122807,1.0,0.86,43.0
Bouvier_des_Flandres,0.7307692307692307,0.9047619047619048,0.8085106382978723,42.0
Doberman,0.9387755102040817,0.8846153846153846,0.9108910891089108,52.0
golden_retriever,0.9019607843137255,0.8363636363636363,0.8679245283018867,55.0
Border_collie,0.7636363636363637,0.7636363636363637,0.7636363636363637,55.0
Pekinese,0.8157894736842105,0.775,0.7948717948717949,40.0
redbone,0.775,0.775,0.775,40.0
accuracy,0.8224813735017816,0.8224813735017816,0.8224813735017816,0.8224813735017816
macro avg,0.8246792867403421,0.820535092537028,0.8186923014571682,6174.0
weighted avg,0.8269577186024796,0.8224813735017816,0.8211009267555192,6174.0
